prompt,status,response
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Regrettably, jet <MASKED_FLIGHT_NUM> will not operate. Please contact customer support to make alternative travel arrangements."
What’s the latest on flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,We regret to inform you that aircraft <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer support to explore options.
Is airplane <MASKED_FLIGHT_NUM> still on time?,BOARDING,The boarding process for airplane <MASKED_FLIGHT_NUM> is in full swing at gate departure point.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has departed and is currently en route.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,DEPARTED,service <MASKED_FLIGHT_NUM> has already taken off from the airport.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,BOARDING,Passengers for aircraft <MASKED_FLIGHT_NUM> can now board at gate flight gate.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,DEPARTED,service <MASKED_FLIGHT_NUM> is currently on its way to the destination.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,DEPARTED,The flight airline <MASKED_FLIGHT_NUM> is already on its way to its destination.
Can I get confirmation that flight <MASKED_FLIGHT_NUM> is on schedule?,BOARDING,The boarding gates for aircraft <MASKED_FLIGHT_NUM> are now open for passengers.
Could you check if service <MASKED_FLIGHT_NUM> is on schedule?,BOARDING,"Boarding has started for plane <MASKED_FLIGHT_NUM>, please proceed to gate boarding station."
What’s the current update for service <MASKED_FLIGHT_NUM>?,CANCELLED,We regret to inform you that service <MASKED_FLIGHT_NUM> has been cancelled. Please speak with support for rebooking.
Do you know if flight <MASKED_FLIGHT_NUM> is running on time?,BOARDING,Boarding is in progress for airplane <MASKED_FLIGHT_NUM> at gate departure gate.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,BOARDING,The gate for carrier <MASKED_FLIGHT_NUM> is now open for boarding.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",DEPARTED,service <MASKED_FLIGHT_NUM> has taken off and is en route.
Do you have any updates about service <MASKED_FLIGHT_NUM>?,DELAYED,The latest update: jet <MASKED_FLIGHT_NUM> is delayed. New departure time is <MASKED_FLIGHT_TIME>.
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,DELAYED,The updated schedule shows that flight <MASKED_FLIGHT_NUM> will be departing at <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DEPARTED,Flight service <MASKED_FLIGHT_NUM> is already airborne and heading to its destination.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",CANCELLED,"Sadly, airline <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer support to help with your travel needs."
Is the flight <MASKED_FLIGHT_NUM> on time?,DELAYED,A delay has affected plane <MASKED_FLIGHT_NUM>. Departure is rescheduled to <MASKED_FLIGHT_TIME>.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,airplane <MASKED_FLIGHT_NUM> is delayed. Please expect the flight to leave at <MASKED_FLIGHT_TIME>.
Can I get a confirmation that service <MASKED_FLIGHT_NUM> is on time?,ON_TIME,The flight aircraft <MASKED_FLIGHT_NUM> will depart on time. Expect it to leave at <MASKED_FLIGHT_TIME>.
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,CANCELLED,"Regrettably, service <MASKED_FLIGHT_NUM> has been cancelled. For further information, please get in touch with customer support."
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,DELAYED,A delay has occurred for jet <MASKED_FLIGHT_NUM>. New schedule: <MASKED_FLIGHT_TIME>.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> has already departed from the airport.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,"Due to operational delays, flight <MASKED_FLIGHT_NUM> will now depart at <MASKED_FLIGHT_TIME>."
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,We regret to inform you that aircraft <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer service for rescheduling.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> is currently happening at gate gate position.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,CANCELLED,"Apologies, but airline <MASKED_FLIGHT_NUM> has been cancelled. Please contact our support team for further assistance."
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,DELAYED,service <MASKED_FLIGHT_NUM> is facing a delay. Expect it to leave at <MASKED_FLIGHT_TIME>.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,BOARDING,The boarding process for aircraft <MASKED_FLIGHT_NUM> is actively taking place.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Due to unforeseen circumstances, airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for rebooking."
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,DEPARTED,The flight airplane <MASKED_FLIGHT_NUM> is on its way to the destination.
Do you know if flight <MASKED_FLIGHT_NUM> is running on time?,CANCELLED,We're sorry to announce that plane <MASKED_FLIGHT_NUM> is cancelled. Please contact us to rebook or inquire about your options.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,The boarding process for jet <MASKED_FLIGHT_NUM> has started at gate boarding area.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,DELAYED,The adjusted departure time for jet <MASKED_FLIGHT_NUM> is <MASKED_FLIGHT_TIME>.
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,carrier <MASKED_FLIGHT_NUM> has experienced a delay. New departure time: <MASKED_FLIGHT_TIME>.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,ON_TIME,The flight flight <MASKED_FLIGHT_NUM> will depart as planned at <MASKED_FLIGHT_TIME>.
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"We apologize, but jet <MASKED_FLIGHT_NUM> is cancelled."
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,CANCELLED,We're sorry to report that service <MASKED_FLIGHT_NUM> has been cancelled. Contact support for help with your next steps.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,CANCELLED,"We're sorry, but plane <MASKED_FLIGHT_NUM> is no longer operating. Please contact customer service to reschedule."
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, carrier <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for information on your options."
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,DEPARTED,airline <MASKED_FLIGHT_NUM> has departed and is heading to its destination.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,DELAYED,A revised schedule for aircraft <MASKED_FLIGHT_NUM> shows departure at <MASKED_FLIGHT_TIME>.
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,DELAYED,There’s a delay for plane <MASKED_FLIGHT_NUM>. Please check the updated departure time at <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> is already on its way.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,ON_TIME,The departure for plane <MASKED_FLIGHT_NUM> is confirmed on time for <MASKED_FLIGHT_TIME>.
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, jet <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with our customer service team to arrange another flight."
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,BOARDING,The boarding gate for jet <MASKED_FLIGHT_NUM> is now active.
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,DELAYED,We’re sorry for the delay to flight <MASKED_FLIGHT_NUM>. Please expect departure at <MASKED_FLIGHT_TIME>.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,DELAYED,We’re sorry to inform you that aircraft <MASKED_FLIGHT_NUM> is delayed. The updated schedule is <MASKED_FLIGHT_TIME>.
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,DELAYED,service <MASKED_FLIGHT_NUM> is facing a delay. Expect it to leave at <MASKED_FLIGHT_TIME>.
Is service <MASKED_FLIGHT_NUM> expected to leave on time today?,CANCELLED,"Sadly, carrier <MASKED_FLIGHT_NUM> has been cancelled. Please speak with our support team for rebooking assistance."
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,BOARDING,Boarding is now happening at gate check-in gate for airline <MASKED_FLIGHT_NUM>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,BOARDING,"Now boarding for plane <MASKED_FLIGHT_NUM>, please proceed to gate entry gate."
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,The schedule for service <MASKED_FLIGHT_NUM> remains unchanged at <MASKED_FLIGHT_TIME>.
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,DELAYED,There is an update for plane <MASKED_FLIGHT_NUM>: departure delayed to <MASKED_FLIGHT_TIME>.
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,DEPARTED,plane <MASKED_FLIGHT_NUM> has taken off and is now airborne.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,BOARDING,Passengers are boarding for plane <MASKED_FLIGHT_NUM>.
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,DELAYED,airline <MASKED_FLIGHT_NUM> has been delayed due to unforeseen reasons. Departure now set for <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,CANCELLED,"Apologies, but carrier <MASKED_FLIGHT_NUM> will not be departing. Please reach out to customer service for further support."
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,BOARDING,Flight plane <MASKED_FLIGHT_NUM> is currently boarding at gate boarding zone.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,DEPARTED,Flight airplane <MASKED_FLIGHT_NUM> has already taken off and is now in flight.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,BOARDING,The boarding gates for airplane <MASKED_FLIGHT_NUM> are now open at gate boarding area.
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,DEPARTED,Flight carrier <MASKED_FLIGHT_NUM> is already on its way to its destination.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,CANCELLED,"Sadly, plane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to our support team to explore your options."
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,DELAYED,jet <MASKED_FLIGHT_NUM> has been delayed. The new departure time is <MASKED_FLIGHT_TIME>.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"We apologize for the inconvenience, but airplane <MASKED_FLIGHT_NUM> is cancelled. Please contact customer support for your options."
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,DEPARTED,service <MASKED_FLIGHT_NUM> has taken off and is en route.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for further assistance."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,CANCELLED,"Sadly, flight <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with customer support for rebooking assistance."
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,ON_TIME,The current status of jet <MASKED_FLIGHT_NUM> is on time. It will depart as planned at <MASKED_FLIGHT_TIME>.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,The flight airplane <MASKED_FLIGHT_NUM> will depart as planned at <MASKED_FLIGHT_TIME>.
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,ON_TIME,"Good news! airplane <MASKED_FLIGHT_NUM> has no changes to its schedule, leaving at <MASKED_FLIGHT_TIME>."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,CANCELLED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please speak with customer service for your next steps."
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,CANCELLED,"Sadly, carrier <MASKED_FLIGHT_NUM> has been cancelled. Please speak with our support team for rebooking assistance."
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",DELAYED,The scheduled departure for carrier <MASKED_FLIGHT_NUM> has been delayed. The new time is <MASKED_FLIGHT_TIME>.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> is currently airborne and heading to its destination.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> has already departed from the airport.
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,DEPARTED,The flight airline <MASKED_FLIGHT_NUM> is already in flight and on its way.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,ON_TIME,We’re all set! jet <MASKED_FLIGHT_NUM> is on time with a departure at <MASKED_FLIGHT_TIME>.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,CANCELLED,"Sadly, airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for further assistance."
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on time?,DELAYED,There’s a delay for plane <MASKED_FLIGHT_NUM> and it will now leave at <MASKED_FLIGHT_TIME>.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,BOARDING,Now boarding passengers for flight <MASKED_FLIGHT_NUM> at gate boarding area.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,flight <MASKED_FLIGHT_NUM> has taken off and is now airborne.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,DEPARTED,carrier <MASKED_FLIGHT_NUM> has taken off and is now airborne.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",ON_TIME,Everything looks great for jet <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME>.
Is airplane <MASKED_FLIGHT_NUM> still on time?,ON_TIME,Good news! service <MASKED_FLIGHT_NUM> is on time for departure at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,CANCELLED,We regret to inform you that flight <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer support to explore options.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,BOARDING,The flight carrier <MASKED_FLIGHT_NUM> is now accepting passengers for boarding.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",DEPARTED,plane <MASKED_FLIGHT_NUM> is no longer at the airport.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,DELAYED,carrier <MASKED_FLIGHT_NUM> is delayed. The new departure is scheduled for <MASKED_FLIGHT_TIME>.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"We're sorry, but aircraft <MASKED_FLIGHT_NUM> is no longer operating. Please contact us for more information on your travel options."
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",ON_TIME,"The flight airline <MASKED_FLIGHT_NUM> is on schedule, departing at <MASKED_FLIGHT_TIME>."
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,BOARDING,The flight airline <MASKED_FLIGHT_NUM> is actively boarding passengers.
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,BOARDING,jet <MASKED_FLIGHT_NUM> is now open for passengers to board at the gate.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,The flight airline <MASKED_FLIGHT_NUM> has started the boarding process at gate check-in gate.
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,DEPARTED,Flight jet <MASKED_FLIGHT_NUM> is already on its way to its destination.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,ON_TIME,The departure remains the same for airplane <MASKED_FLIGHT_NUM>. It’s leaving at <MASKED_FLIGHT_TIME>.
What’s the current status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,We apologize for the inconvenience. airplane <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer support for your options.
